architecture_layers,condition,seed,ood_accuracy_mean,measured_layer,scope,component,head,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,1,token_mean,value,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.4367556567105922,0.17618571808115327,0.0495259806904525,0.0026707155629992485,0.04685526341199875,1.5495234681640009,0.05017053453309845,0.1260818983395555,nan,nan,0.8217904567718506,0.02172330766916275
2,higher_diversity,0,0.664,1,token_mean,value,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.22529202877966314,0.045327722635562305,0.012255334274535446,0.0006672103772871196,0.011588123627007008,1.1894559355041465,0.01223457695479016,0.10838258626697254,nan,nan,0.8887935280799866,0.01668498106300831
2,higher_diversity,0,0.664,1,token_mean,value,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.004666583046371153,0.006345475425199824,0.0139767848021601,0.0005996348918415606,0.01337714958935976,1.276104569582165,0.013379992219082211,0.27890538584032076,nan,nan,0.9972334504127502,0.018525857478380203
2,higher_diversity,0,0.664,2,cls,query,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.3952143433531561,0.40940538016269956,0.36528538391594056,0.07239685207605362,0.2928885221481323,1.5007657272841006,0.30507231153324355,0.31323841853751166,0.08348513634462065,0.9229562580103321,0.7092024683952332,0.5807987451553345
2,higher_diversity,0,0.664,2,cls,query,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.432610383333033,0.4633368398832977,0.3140435984988408,0.020267702639102936,0.29377591609954834,1.3981397216169218,0.28796997955906206,0.24771610003786387,0.036714120118324894,1.2667478578190046,0.6896728873252869,0.5318060517311096
2,higher_diversity,0,0.664,2,cls,query,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.9881403343390314,1.032007461921084,0.5589065685282955,0.0228235125541687,0.5360830426216125,1.7013802079285762,0.538174703984987,0.2974029601068033,nan,nan,0.4456641376018524,0.641941487789154
2,higher_diversity,0,0.664,2,cls,query,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,1.6261768771174785,0.30281055364962123,0.14472147329344603,0.005931118968874216,0.13879036903381348,1.8534311098747895,1.2793223271516845,0.13280600070519538,nan,nan,0.027784699574112892,0.6013380885124207
2,higher_diversity,0,0.664,2,cls,query,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,1.75680605992854,0.3978055487773726,0.301625704561835,0.20852234959602356,0.09310335665941238,1.8963322199460213,1.2039422523159677,0.2235974651749046,nan,nan,0.00802631489932537,0.688112735748291
2,higher_diversity,0,0.664,2,cls,query,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,1.3061030858807379,0.6630487821059518,0.40690268172380306,0.01817116141319275,0.3887315094470978,1.7619904246421605,0.6878031255863163,0.227245649545417,0.6214714253544489,0.6469282261132367,0.24402490258216858,0.7852732539176941
2,higher_diversity,0,0.664,2,cls,query,all,double_negation,96,2,2,1,0,2.0,nan,nan,2.38905572890697,1.0068196428323961,0.7269384587146769,0.017140427604317665,0.7097980380058289,1.6259183270180377,0.8879771810723933,0.3635128663164586,nan,nan,0.279101699590683,0.8587737083435059
