architecture_layers,condition,measured_layer,scope,component,head,models,identity_error_mean,identity_error_std,transport_error_mean,transport_error_std,holonomy_error_mean,holonomy_error_std,holonomy_rotation_error_mean,holonomy_rotation_error_std,holonomy_linear_action_error_mean,holonomy_linear_action_error_std,holonomy_systematic_error_mean,holonomy_systematic_error_std,holonomy_dispersion_error_mean,holonomy_dispersion_error_std,holonomy_edge_accumulation_ratio_mean,holonomy_edge_accumulation_ratio_std,path_agreement_error_mean,path_agreement_error_std,path_endpoint_error_mean,path_endpoint_error_std,activation_variance_mean,activation_variance_std,edge_improvement_over_identity_mean,edge_improvement_over_identity_std,supported_models
4,higher_diversity,2,cls,query,all,3,0.9560173673280135,0.3254011180979349,0.7996868958509907,0.24823935901704464,0.67547989612973,0.311337183111549,1.706638761064716,0.02059053704610509,0.7088348456658053,0.3386141874146023,0.029286870986900543,0.01053606972564749,0.6461930198199821,0.301082762868033,0.2825771343401235,0.03382504836928927,0.37416674349634854,0.1527768776330694,0.9791397852256422,0.3422096994942199,0.1580053913322362,0.043144477923544665,0.1530429765198288,0.07796545222502337,3
4,higher_diversity,2,cls,value,all,3,0.9473218903166396,0.28228188368226637,0.8254656982225991,0.23141726122477346,0.6894216038892003,0.28334586541280926,1.7063801727982708,0.023631927148545527,0.7112312090273157,0.30430636776736025,0.03067260584088437,0.01205297643253043,0.6587490019473163,0.27169459027418413,0.28411197159626495,0.028553942809235056,0.3853346154889416,0.1361802031502554,0.999733983225657,0.3162306877178493,0.12974379200375444,0.028962095990819614,0.12408378596630736,0.03846652946305169,3
4,higher_diversity,2,token_mean,key,all,3,0.2179833359708548,0.01683168594265285,0.11379484323784118,0.01483262823734486,0.08274455366455184,0.012965572245776678,1.3539044989112294,0.012928848529600254,0.08170007165248172,0.012311741813356427,0.003991106147595653,0.0009627596576438455,0.07875344608769273,0.012005165172587012,0.25752851509524427,0.0133550521474371,0.04972937608400125,0.009285217777530561,0.14172872161432795,0.015825524570969255,0.02883473478934982,0.000996007527265545,0.4789884599080876,0.04043649173407432,3
4,higher_diversity,2,token_mean,query,all,3,0.2341762772602084,0.011510162460563685,0.1162165843670575,0.016192841156173907,0.08741717022890266,0.012351550994782573,1.3621088238154095,0.014868848008544714,0.08691459639105494,0.011518100740796325,0.004216774737208404,0.001024391379828545,0.08320039488149411,0.011332299064336792,0.26123961225611136,0.01200290962317105,0.050405366541533846,0.008166537676276717,0.1458508614172448,0.01765713083894299,0.02817514008193305,0.0004398173437156125,0.5049569651928504,0.05052922620383715,3
4,higher_diversity,2,token_mean,value,all,3,0.21222124914505058,0.015634293221278035,0.10915653496806288,0.012679069316005728,0.07996325121296802,0.009852820634812694,1.3614690421786217,0.01802934181874354,0.07894150309324922,0.009085647717154678,0.004138079948130657,0.0009833950128293402,0.07582517160159169,0.008869746958771196,0.2584431504443878,0.007991914039572747,0.04562660923880598,0.005744431826983406,0.13475328416120902,0.011802896311985714,0.028579174851377804,0.0008937820219005706,0.486537792924643,0.029331906270596793,3
4,higher_diversity,3,cls,key,all,3,1.140491889628924,0.10599234637456431,0.8659286335758954,0.07186569845096889,0.7751395618429573,0.11323647844124338,1.7188713588738678,0.010608559783390708,0.8401955333534227,0.12184541445257854,0.051670582739241196,0.017879637268233346,0.7234689801028281,0.10614467448247576,0.2933974289372814,0.01850860500398927,0.38980811651371555,0.06531414720772752,1.0300904668618063,0.07612038294573724,0.3216715856935039,0.03914549236736502,0.2397539437799704,0.03487981162189191,3
4,higher_diversity,3,cls,query,all,3,1.081320082509425,0.1332209712900299,0.7695905255828395,0.08410349043484508,0.656918055352241,0.127176213470943,1.7170461191192035,0.01113142956018206,0.7333775365860907,0.1460999940256607,0.047625261655246665,0.01815062935112732,0.6092927939060963,0.11951903377788302,0.2797567688510755,0.022604581397177966,0.3160013856157062,0.06440872233438637,0.919340773178979,0.09383672459404424,0.4520387085098209,0.08284016164700105,0.28735008784453536,0.015381128175238849,3
4,higher_diversity,3,cls,value,all,3,1.0917881005568901,0.0979266703302657,0.8508777008154264,0.09290133825929815,0.7428754674295227,0.13237244365859285,1.7191443521376186,0.007683734408709403,0.7927651267363482,0.12496108662430123,0.048812088556587696,0.015402791876865775,0.6940633762966503,0.12153521599941891,0.2882927048561361,0.017367077351109306,0.383880801335452,0.08040386852002862,1.0022373945391794,0.13135465935706195,0.30093610422177747,0.017865345570862314,0.22088255384653824,0.039551456838896805,3
4,higher_diversity,3,token_mean,key,all,3,0.265450067143082,0.004659490846369866,0.15731212142843798,0.0149169293661815,0.10558615515071457,0.00561835633102419,1.4376765385950805,0.02148118102809388,0.10512556260252666,0.0055412238478371985,0.005708264194033814,0.0006842577317741896,0.09987789042519801,0.004934753338449571,0.23225001404330317,0.0076637355300833,0.05594100852663261,0.004479551360773826,0.18170294387097888,0.011414868421644912,0.04878283839559916,0.0022558912811693394,0.4075503608021489,0.05280678854512046,3
4,higher_diversity,3,token_mean,query,all,3,0.28771422739592717,0.022408045628832272,0.15187540917456277,0.014364559742953666,0.09377783988558436,0.00377897126287301,1.4395916284534644,0.01722355982391788,0.09319079617191377,0.0041386685253765555,0.005539635069329631,0.0003490374286420082,0.08823820440606638,0.0034379988999548223,0.21624072156599292,0.012489232369671097,0.0457769429816032,0.0008858251232672463,0.16947285710356083,0.00928881987625105,0.0584414525126869,0.005385070774175208,0.46927271375133944,0.07094188671486423,3
