architecture_layers,condition,seed,measured_layer,scope,component,head,ood_accuracy_mean,identity_error,transport_error,holonomy_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,activation_variance,edge_improvement_over_identity,supported
2,higher_diversity,2,2,token_mean,key,all,0.652,0.2518319413079721,0.14729701696176656,0.06850035559991571,1.3883193372281046,0.06632103272432387,0.004309807914647867,0.06419054740531878,0.18840629211193785,0.04346083374871348,0.15409144764589855,0.031995577314360577,0.41509795700763374,True
2,higher_diversity,2,2,cls,value,all,0.652,1.0467680584864383,0.8331147766471063,0.6138850594136206,1.674414129305393,0.650779617106517,0.029663872397081417,0.5842211828990416,0.26609820125067,0.41693313630397183,0.9339362774546386,0.31590271673419257,0.20410756719904255,True
2,higher_diversity,2,2,token_mean,value,all,0.652,0.18353875828151606,0.12744063312183854,0.059825107518323865,1.3897255817039358,0.05840551149339106,0.003430793040686033,0.05639431405473839,0.1827826865786127,0.03392210045797842,0.1321590875973463,0.034247694367712196,0.30564729588958484,True
2,low_diversity,0,1,cls,query,all,0.6395,0.0,0.0,0.0,1.9192347058613477,1.2370263148552376,0.0,0.0,0.0,0.0,0.0,2.3510276269980953e-11,nan,False
2,low_diversity,0,1,token_mean,query,all,0.6395,0.19097125211021,0.04538194912680185,0.01905655835355395,1.275717554802827,0.019581648362995776,0.0008245767841634171,0.018231982259418477,0.1912467828603096,0.02434092631334375,0.07209119677799701,0.01110196371816776,0.7623624046795703,True
2,low_diversity,0,1,cls,key,all,0.6395,0.0,0.0,0.0,1.9516950223789784,1.183513634669511,0.0,0.0,0.0,0.0,0.0,6.3088076429629325e-12,nan,False
2,low_diversity,0,1,token_mean,key,all,0.6395,0.16894612825017546,0.04444458279636662,0.018341479022360715,1.266628379967935,0.01865581642289892,0.000846027589762922,0.01749545126222074,0.20179915104472113,0.02429763342136304,0.07190391838163356,0.011546512769365852,0.7369304448897871,True
2,low_diversity,0,1,cls,value,all,0.6395,0.0,0.0,0.0,1.923314743623617,1.1597202062564635,0.0,0.0,0.0,0.0,0.0,4.3202993674997e-12,nan,False
2,low_diversity,0,1,token_mean,value,all,0.6395,0.15713643329223023,0.04205812514140497,0.01704189329314529,1.2763409426870365,0.017056024902500275,0.0007527812929104336,0.016289112221618943,0.19394995944348145,0.02201746589382315,0.07002205806711014,0.011853944552554325,0.7323464440408387,True
2,low_diversity,0,2,cls,query,all,0.6395,1.4306336162550688,0.836551390943492,0.6898614177705121,1.7506564777361284,0.9633128334460637,0.024396507323465565,0.6654648970473896,0.3036421497985224,0.17036308781137732,1.0003061275159288,0.13206498697400093,0.41525811959227543,True
2,low_diversity,0,2,token_mean,query,all,0.6395,0.18495946499809587,0.05650080032977351,0.03330039879055021,1.2612974038752351,0.03393597144410285,0.0013187396279218692,0.03198165912181139,0.2566222722078187,0.030350612154972773,0.08599351728671113,0.011641435833139853,0.6945233360706619,True
2,low_diversity,0,2,cls,key,all,0.6395,1.4535380761289525,0.8694800828437175,0.7938599301050662,1.7325630643419727,1.070758148575834,0.0259694740684195,0.7678904641758312,0.32321574905770467,0.20915255733392438,0.9855592797573799,0.1019367789002982,0.4018181586551156,True
2,low_diversity,0,2,token_mean,key,all,0.6395,0.1873116046325403,0.05562092000748422,0.03154214035453681,1.263679470935565,0.03189327097124315,0.0013058151909552346,0.0302363263273781,0.2537662669954032,0.030561280772252855,0.08718631850865466,0.012871951838447289,0.7030567320343077,True
