architecture_layers,condition,seed,ood_accuracy_mean,baseline,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,1,0.6705000000000001,identity,associativity_pentagon,96,5,8,1,1,5.0,0.58125,0.59375,0.46733263051869206,0.46733263062086705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299599833419966,0.5972118377685547,0.8221036195755005
2,higher_diversity,1,0.6705000000000001,identity,commutativity_cube,96,8,24,6,5,4.0,0.5885416666666666,0.375,0.5816812315572009,0.5816812301742679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.374450780505602,0.4971105754375458,0.8328781127929688
2,higher_diversity,1,0.6705000000000001,identity,commutativity_involution,96,2,2,1,0,2.0,0.7291666666666666,0.6875,1.1320125522661117,1.1320125518226758,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.2399233877658844,0.8709508776664734
2,higher_diversity,1,0.6705000000000001,identity,demorgan_and_square,96,4,4,1,0,4.0,0.5286458333333334,0.4895833333333333,1.4742904050490195,1.4742904062849025,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.05830497294664383,0.43472322821617126
2,higher_diversity,1,0.6705000000000001,identity,demorgan_or_square,96,4,4,1,0,4.0,0.4739583333333333,0.1875,1.473795595596507,1.4737955943256642,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.06398860365152359,0.5310502648353577
2,higher_diversity,1,0.6705000000000001,identity,distributivity_diamond,96,4,5,2,1,3.0,0.6119791666666666,0.4166666666666667,1.0555290105874393,1.0555290195992224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1137740321390797,0.2670125663280487,0.9091486930847168
2,higher_diversity,1,0.6705000000000001,identity,double_negation,96,2,2,1,0,2.0,0.578125,0.4895833333333333,2.339349563142859,2.3393495407646774,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.17253972589969635,0.6715205311775208
2,higher_diversity,1,0.6705000000000001,identity,exact1_hexagon,96,6,6,1,0,6.0,0.5625,0.3854166666666667,0.6775419113771314,0.6775419076616758,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.6319129467010498,0.1786515861749649
2,higher_diversity,1,0.6705000000000001,identity,ite_expansion,96,2,2,1,0,2.0,0.5625,0.5833333333333334,1.6322874790715562,1.6322874866537098,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.08999225497245789,0.8956432342529297
2,higher_diversity,1,0.6705000000000001,identity,majority_duality,96,2,2,1,0,2.0,0.5208333333333334,0.4791666666666667,2.0827682454407577,2.082768235377016,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.3551546335220337,0.45031699538230896
2,higher_diversity,1,0.6705000000000001,identity,nary_and_hexagon,96,6,6,1,0,6.0,0.5677083333333334,0.4791666666666667,0.9777105965714533,0.9777105969253638,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.2566870450973511,0.6116766333580017
