architecture_layers,condition,seed,train_size,step,train_loss,validation_loss,validation_accuracy
6,low_diversity,1,512,1,0.7236723303794861,0.7029883880615234,0.5
6,low_diversity,1,512,250,0.11864867450296879,2.376119354248047,0.69
6,low_diversity,1,512,500,0.00011143150943098589,2.617897644042969,0.69
6,low_diversity,1,512,750,6.345227408746723e-05,2.7778045654296877,0.689
6,low_diversity,1,512,1000,4.31062797724735e-05,2.899687316894531,0.687
6,low_diversity,1,512,1250,3.1854812586971096e-05,3.0016705322265627,0.684
6,low_diversity,1,512,1500,2.472512448002817e-05,3.087950439453125,0.684
6,low_diversity,1,512,1750,1.9812822851235977e-05,3.1644624633789062,0.684
6,low_diversity,1,512,2000,1.6230861205258408e-05,3.234252197265625,0.683
6,low_diversity,2,512,1,0.7497000694274902,0.7745569763183594,0.5
6,low_diversity,2,512,250,0.15908586599398405,2.3080294189453125,0.676
6,low_diversity,2,512,500,0.00015017799841007218,2.5796829223632813,0.676
6,low_diversity,2,512,750,8.380598793155514e-05,2.7527730712890626,0.674
6,low_diversity,2,512,1000,5.66662703640759e-05,2.88382275390625,0.67
6,low_diversity,2,512,1250,4.180393532442395e-05,2.9907874145507813,0.671
6,low_diversity,2,512,1500,3.241578208690044e-05,3.0810343017578123,0.672
6,low_diversity,2,512,1750,2.594919253169792e-05,3.158527282714844,0.672
6,low_diversity,2,512,2000,2.122939621040132e-05,3.227299255371094,0.672
6,higher_diversity,0,12000,1,0.7124355435371399,0.7917701568603516,0.5
6,higher_diversity,0,12000,250,0.537901384472847,0.46494862365722656,0.75
6,higher_diversity,0,12000,500,0.3906705485582352,0.473913215637207,0.741
6,higher_diversity,0,12000,750,0.28519914162158966,0.5623689041137695,0.761
6,higher_diversity,0,12000,1000,0.16750026044249536,0.8494647827148437,0.758
6,higher_diversity,0,12000,1250,0.07761139827221632,1.2260639190673828,0.749
6,higher_diversity,0,12000,1500,0.04138404019456357,1.3049689636230468,0.765
6,higher_diversity,0,12000,1750,0.028123450411483647,1.3492905883789061,0.744
6,higher_diversity,0,12000,2000,0.021208785775117575,1.4058348846435547,0.759
6,higher_diversity,1,12000,1,0.7052337527275085,0.8425164489746094,0.5
6,higher_diversity,1,12000,250,0.5299126824140549,0.4807647018432617,0.732
6,higher_diversity,1,12000,500,0.41641987407207487,0.4862598190307617,0.731
6,higher_diversity,1,12000,750,0.3184938532114029,0.5755560607910156,0.752
6,higher_diversity,1,12000,1000,0.2071679333150387,0.9835110778808593,0.737
6,higher_diversity,1,12000,1250,0.10208842443674802,1.2243476867675782,0.726
