architecture_layers,condition,seed,train_size,rewrite,count,identity_error,transport_error,cka,activation_variance
2,higher_diversity,1,12000,commute_or_in_context,96,0.6212671399116516,0.6863227486610413,0.4454927146434784,0.8020630478858948
2,higher_diversity,1,12000,commute_xor_in_context,96,0.5527642369270325,0.6136415004730225,0.5715901851654053,0.8008068203926086
2,higher_diversity,1,12000,distribute_and_over_or_left,96,1.1984596252441406,0.9821523427963257,0.3031952381134033,0.8762657046318054
2,higher_diversity,1,12000,distribute_and_over_or_right,96,1.031089425086975,0.9945193529129028,0.3240897059440613,0.8897013664245605
2,higher_diversity,1,12000,parallel_commute_and,96,0.9340692162513733,1.0061620473861694,0.4240376651287079,0.8798458576202393
2,higher_diversity,1,12000,distribute_and_over_or_left_inverse,96,1.0568597316741943,0.9090114831924438,0.4161919355392456,0.8918981552124023
2,higher_diversity,1,12000,ite_expand,96,1.68791925907135,1.4194425344467163,0.15595270693302155,0.900271475315094
2,higher_diversity,1,12000,ite_reduce,96,1.5005747079849243,1.2809563875198364,0.19413107633590698,0.8738343119621277
2,higher_diversity,1,12000,majority_duality,96,2.1533873081207275,0.9854483604431152,0.28418484330177307,0.4223299026489258
2,higher_diversity,1,12000,majority_duality_inverse,96,2.061617374420166,1.0365996360778809,0.28427308797836304,0.44547000527381897
2,higher_diversity,1,12000,swap_exact1_12,96,0.7735920548439026,0.8317830562591553,0.5424093008041382,0.1984703093767166
2,higher_diversity,1,12000,swap_exact1_23,96,0.5200961232185364,0.6669281125068665,0.6319538950920105,0.21170270442962646
2,higher_diversity,2,12000,commute_and,96,1.2598856687545776,1.3612648248672485,0.19910095632076263,0.7861935496330261
2,higher_diversity,2,12000,double_negation_expand,96,2.296165943145752,1.2801096439361572,0.19597715139389038,0.6652346253395081
2,higher_diversity,2,12000,double_negation_reduce,96,2.3584582805633545,1.2504197359085083,0.12831450998783112,0.6780633330345154
2,higher_diversity,2,12000,commute_and_under_not,96,1.042827844619751,1.1408135890960693,0.4486035406589508,0.15197515487670898
2,higher_diversity,2,12000,demorgan_and,96,2.1292941570281982,0.8846664428710938,0.20016664266586304,0.329446405172348
2,higher_diversity,2,12000,commute_or,96,1.4460563659667969,1.446342945098877,0.17141208052635193,0.2956670820713043
2,higher_diversity,2,12000,demorgan_and_inverse,96,2.0229735374450684,0.8643683791160583,0.29895079135894775,0.3342944085597992
2,higher_diversity,2,12000,commute_or_under_not,96,0.9174511432647705,0.9867201447486877,0.5203436613082886,0.19211025536060333
2,higher_diversity,2,12000,demorgan_or,96,1.9238029718399048,1.1209980249404907,0.2391413152217865,0.5069521069526672
2,higher_diversity,2,12000,demorgan_or_inverse,96,1.8354918956756592,1.0391813516616821,0.2464931458234787,0.5055453777313232
2,higher_diversity,2,12000,associate_and_right,96,0.5567878484725952,0.5984591841697693,0.5612196326255798,0.7025995254516602
2,higher_diversity,2,12000,associate_and_left,96,0.32249441742897034,0.3697465658187866,0.7749731540679932,0.7709269523620605
2,higher_diversity,2,12000,swap_and3_12,96,1.0327520370483398,1.1408486366271973,0.2536357045173645,0.4814751148223877
2,higher_diversity,2,12000,swap_and3_23,96,1.056828498840332,1.1650915145874023,0.22510947287082672,0.4975128173828125
2,higher_diversity,2,12000,commute_and_in_context,96,0.5316123962402344,0.5847178101539612,0.5550541877746582,0.792441189289093
2,higher_diversity,2,12000,commute_or_in_context,96,0.6441588997840881,0.7205599546432495,0.45989081263542175,0.7767431139945984
2,higher_diversity,2,12000,commute_xor_in_context,96,0.5882506966590881,0.6353654861450195,0.5017940998077393,0.7777240872383118
2,higher_diversity,2,12000,distribute_and_over_or_left,96,1.4496687650680542,0.9733260869979858,0.3350507318973541,0.854792594909668
2,higher_diversity,2,12000,distribute_and_over_or_right,96,1.5014593601226807,0.9777625203132629,0.34064871072769165,0.8376224040985107
2,higher_diversity,2,12000,parallel_commute_and,96,0.9810516834259033,1.0234174728393555,0.3830054700374603,0.6234346032142639
2,higher_diversity,2,12000,distribute_and_over_or_left_inverse,96,1.6767017841339111,1.162691593170166,0.17683742940425873,0.822612464427948
2,higher_diversity,2,12000,ite_expand,96,1.8133292198181152,1.180820345878601,0.1678284853696823,0.6954023241996765
2,higher_diversity,2,12000,ite_reduce,96,2.010064125061035,1.3640341758728027,0.10659666359424591,0.689396858215332
