architecture_layers,condition,seed,train_size,ood_accuracy_mean,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
4,low_diversity,2,512,0.6305000000000001,double_negation,96,2,2,1,0,2.0,0.59375,0.4583333333333333,2.1253223875788363,1.6311921141057657,0.9691132127145051,nan,nan,0.02046985737979412,0.9374455809593201
4,low_diversity,2,512,0.6305000000000001,exact1_hexagon,96,6,6,1,0,6.0,0.4895833333333333,0.20833333333333334,1.3120759463469511,1.361694973184059,0.506338918014833,nan,nan,0.10760547965765,0.947941780090332
4,low_diversity,2,512,0.6305000000000001,ite_expansion,96,2,2,1,0,2.0,0.484375,0.4895833333333333,2.349525430188831,1.4552373751148744,0.5567394797690873,nan,nan,0.059581950306892395,0.8577540516853333
4,low_diversity,2,512,0.6305000000000001,majority_duality,96,2,2,1,0,2.0,0.484375,0.65625,1.509001717422675,1.3342647322067158,0.22376822519044345,nan,nan,0.058095794171094894,0.8312961459159851
4,low_diversity,2,512,0.6305000000000001,nary_and_hexagon,96,6,6,1,0,6.0,0.6197916666666666,0.4375,1.249584498438423,1.318718302404094,0.8051792858522346,nan,nan,0.13676166534423828,0.6713408827781677
4,higher_diversity,0,12000,0.6625000000000001,associativity_pentagon,96,5,8,1,1,5.0,0.59375,0.5729166666666666,0.4380396743193277,0.5159703471453926,0.5946035675851779,0.1346080855724814,1.0251689866443818,0.6495629549026489,0.8272636532783508
4,higher_diversity,0,12000,0.6625000000000001,commutativity_cube,96,8,24,6,5,4.0,0.5377604166666666,0.3958333333333333,0.540221304894367,0.6140400542076814,0.46193831668609486,0.1704869535168937,1.38620453477517,0.5487802028656006,0.7763087153434753
4,higher_diversity,0,12000,0.6625000000000001,commutativity_involution,96,2,2,1,0,2.0,0.703125,0.7604166666666666,0.9647834356748772,1.0805667466759157,0.677249282720086,nan,nan,0.4163559377193451,0.831071674823761
4,higher_diversity,0,12000,0.6625000000000001,demorgan_and_square,96,4,4,1,0,4.0,0.6302083333333334,0.4270833333333333,1.3781146676044966,1.102625198477738,0.776856705393608,nan,nan,0.10928291827440262,0.6973752975463867
4,higher_diversity,0,12000,0.6625000000000001,demorgan_or_square,96,4,4,1,0,4.0,0.5572916666666666,0.3125,1.3484350377641614,1.178090048458537,1.1518457251763246,nan,nan,0.11644258350133896,0.7831385731697083
4,higher_diversity,0,12000,0.6625000000000001,distributivity_diamond,96,4,5,2,1,3.0,0.6510416666666666,0.4166666666666667,1.212336345927482,1.1332737371867359,0.6819472135591405,0.8612458357199065,1.154733050935265,0.2226472795009613,0.8477969169616699
4,higher_diversity,0,12000,0.6625000000000001,double_negation,96,2,2,1,0,2.0,0.6354166666666666,0.5208333333333334,2.132545722292688,1.2631368889091408,0.8492519147177408,nan,nan,0.12362238019704819,0.8603881001472473
4,higher_diversity,0,12000,0.6625000000000001,exact1_hexagon,96,6,6,1,0,6.0,0.5451388888888888,0.1875,1.0732222708200603,1.205463561263544,1.2838675116901646,nan,nan,0.17793595790863037,0.6934019923210144
4,higher_diversity,0,12000,0.6625000000000001,ite_expansion,96,2,2,1,0,2.0,0.5833333333333334,0.625,1.5945609535428062,1.3875396079244753,1.0008976823983884,nan,nan,0.11771861463785172,0.8357351422309875
4,higher_diversity,0,12000,0.6625000000000001,majority_duality,96,2,2,1,0,2.0,0.5572916666666666,0.4895833333333333,1.8355487298986717,1.3832098423238628,0.7495560395494818,nan,nan,0.08119075745344162,0.7334210276603699
4,higher_diversity,0,12000,0.6625000000000001,nary_and_hexagon,96,6,6,1,0,6.0,0.6336805555555556,0.4895833333333333,0.8245285946886306,0.9476638683510813,0.966279807714079,nan,nan,0.4383006989955902,0.6923378705978394
4,higher_diversity,1,12000,0.658,associativity_pentagon,96,5,8,1,1,5.0,0.5708333333333333,0.5833333333333334,0.5808523613528043,0.641993537558066,0.5140816570162665,0.12892258269717297,1.2107997503894894,0.47862508893013,0.6589720249176025
4,higher_diversity,1,12000,0.658,commutativity_cube,96,8,24,6,5,4.0,0.5859375,0.4791666666666667,0.5156190384997438,0.5784422872927646,0.4086206200251371,0.14568539152099902,1.1728244783823232,0.5659539699554443,0.7615926265716553
4,higher_diversity,1,12000,0.658,commutativity_involution,96,2,2,1,0,2.0,0.6822916666666666,0.8020833333333334,1.1043953537515658,1.1741060357368402,0.6621355582130486,nan,nan,0.30142098665237427,0.768632173538208
4,higher_diversity,1,12000,0.658,demorgan_and_square,96,4,4,1,0,4.0,0.5729166666666666,0.22916666666666666,1.458097392116181,1.0291229235848764,0.942250392948988,nan,nan,0.07004494965076447,0.6114440560340881
4,higher_diversity,1,12000,0.658,demorgan_or_square,96,4,4,1,0,4.0,0.5755208333333334,0.3541666666666667,1.335996391872128,1.3251592513922168,1.3769186468242716,nan,nan,0.11641323566436768,0.6055008769035339
4,higher_diversity,1,12000,0.658,distributivity_diamond,96,4,5,2,1,3.0,0.6302083333333334,0.3541666666666667,1.2312271811500277,1.1569018550964356,0.8860654927385431,1.0254975805905018,1.2462080475912372,0.19930002093315125,0.8454089760780334
4,higher_diversity,1,12000,0.658,double_negation,96,2,2,1,0,2.0,0.640625,0.5104166666666666,1.945791837356839,1.385025509451849,0.6375433679202822,nan,nan,0.09507367014884949,0.8464410901069641
4,higher_diversity,1,12000,0.658,exact1_hexagon,96,6,6,1,0,6.0,0.5520833333333334,0.3020833333333333,0.9420367694041286,1.0438075635705821,1.1161923760770824,nan,nan,0.27248746156692505,0.5247842073440552
4,higher_diversity,1,12000,0.658,ite_expansion,96,2,2,1,0,2.0,0.5260416666666666,0.59375,1.6843560941080986,1.3719853627124339,0.7977670830520235,nan,nan,0.1045316830277443,0.8821375370025635
4,higher_diversity,1,12000,0.658,majority_duality,96,2,2,1,0,2.0,0.578125,0.5520833333333334,1.6931053182974158,1.4617888639382024,0.641179431055595,nan,nan,0.04067527875304222,0.6415667533874512
4,higher_diversity,1,12000,0.658,nary_and_hexagon,96,6,6,1,0,6.0,0.578125,0.6458333333333334,0.8618473604213575,0.9787644186111232,1.033757867766521,nan,nan,0.3746669292449951,0.4966917037963867
4,higher_diversity,2,12000,0.652,associativity_pentagon,96,5,8,1,1,5.0,0.6833333333333333,0.5208333333333334,0.6020998043024924,0.6593608582181469,0.5025363048041602,0.11026976427097789,1.0237730735947326,0.4711582362651825,0.7975540161132812
4,higher_diversity,2,12000,0.652,commutativity_cube,96,8,24,6,5,4.0,0.61328125,0.4479166666666667,0.525952781617283,0.5765746469572148,0.324531987148721,0.10170195130099284,1.3600852331323106,0.5570029616355896,0.7843451499938965
4,higher_diversity,2,12000,0.652,commutativity_involution,96,2,2,1,0,2.0,0.7239583333333334,0.7395833333333334,0.9875024676053028,1.036411568199002,0.4840267972925379,nan,nan,0.35237917304039,0.8694269061088562
4,higher_diversity,2,12000,0.652,demorgan_and_square,96,4,4,1,0,4.0,0.5885416666666666,0.4583333333333333,1.4071852786551715,1.1007347419018634,1.4736567501843052,nan,nan,0.08664959669113159,0.6423571705818176
4,higher_diversity,2,12000,0.652,demorgan_or_square,96,4,4,1,0,4.0,0.6041666666666666,0.28125,1.3124331412106511,1.2468217778585962,0.9422900659560131,nan,nan,0.12595337629318237,0.8017532229423523
4,higher_diversity,2,12000,0.652,distributivity_diamond,96,4,5,2,1,3.0,0.6458333333333334,0.4166666666666667,1.1687281330459305,0.9785763831766169,0.5319652397922155,0.5824682762263451,1.0613862485132557,0.22461166977882385,0.8898301124572754
4,higher_diversity,2,12000,0.652,double_negation,96,2,2,1,0,2.0,0.578125,0.4895833333333333,2.1514387721927393,1.3372286234487667,0.7669926601492795,nan,nan,0.07925023883581161,0.865872859954834
4,higher_diversity,2,12000,0.652,exact1_hexagon,96,6,6,1,0,6.0,0.5243055555555556,0.25,1.0183229086618473,1.1265495811267052,1.2277758858705035,nan,nan,0.2355630248785019,0.7810190916061401
4,higher_diversity,2,12000,0.652,ite_expansion,96,2,2,1,0,2.0,0.5833333333333334,0.6666666666666666,1.6233458747733425,1.3661705020156352,0.8013800231308063,nan,nan,0.12061707675457001,0.8038079142570496
4,higher_diversity,2,12000,0.652,majority_duality,96,2,2,1,0,2.0,0.5364583333333334,0.5520833333333334,1.8240580729267235,1.4670428279839236,0.6649397955445272,nan,nan,0.06302110105752945,0.7362115979194641
4,higher_diversity,2,12000,0.652,nary_and_hexagon,96,6,6,1,0,6.0,0.6128472222222222,0.625,0.8703186513004904,0.9905798163624862,0.9882604875278446,nan,nan,0.36390843987464905,0.5659077167510986
6,low_diversity,0,512,0.639,associativity_pentagon,96,5,8,1,1,5.0,0.575,0.8645833333333334,0.437847020594091,0.4510142427840917,0.2478771957669637,0.024462461493335735,0.6991474789636319,0.6082374453544617,0.4336055815219879
6,low_diversity,0,512,0.639,commutativity_cube,96,8,24,6,5,4.0,0.5286458333333334,0.40625,0.7960212570131459,0.8137119934225275,0.1402948023595132,0.038430436465498936,1.7458530215445645,0.36146047711372375,0.8446398377418518
6,low_diversity,0,512,0.639,commutativity_involution,96,2,2,1,0,2.0,0.59375,0.7291666666666666,1.4746865071605795,1.4977248665309315,0.17530959434396626,nan,nan,0.05463184416294098,0.6722409129142761
6,low_diversity,0,512,0.639,demorgan_and_square,96,4,4,1,0,4.0,0.4765625,0.08333333333333333,1.7424907859120236,0.5036129766289617,0.1870517378571803,nan,nan,0.009848964400589466,0.9874093532562256
6,low_diversity,0,512,0.639,demorgan_or_square,96,4,4,1,0,4.0,0.40625,0.5416666666666666,1.1804997575907688,0.9414809204231027,0.23134514137165388,nan,nan,0.16494055092334747,0.7672603726387024
6,low_diversity,0,512,0.639,distributivity_diamond,96,4,5,2,1,3.0,0.5729166666666666,0.2916666666666667,1.5635553703895482,0.9116678648331772,0.10658074341566134,0.13110315016386864,1.0638021097433576,0.04825713112950325,0.9374341368675232
6,low_diversity,0,512,0.639,double_negation,96,2,2,1,0,2.0,0.5416666666666666,0.5,1.9585172379494409,1.7438119599649122,0.6192005688937983,nan,nan,0.00664133857935667,0.9895222783088684
6,low_diversity,0,512,0.639,exact1_hexagon,96,6,6,1,0,6.0,0.5052083333333334,0.28125,1.1499469482060787,1.1855390001350459,0.4912731071927342,nan,nan,0.15997251868247986,0.8864860534667969
6,low_diversity,0,512,0.639,ite_expansion,96,2,2,1,0,2.0,0.5677083333333334,0.6145833333333334,1.5336626063612286,1.2704646352338647,0.3432510418068599,nan,nan,0.06709480285644531,0.9747695326805115
6,low_diversity,0,512,0.639,majority_duality,96,2,2,1,0,2.0,0.4947916666666667,0.3229166666666667,2.6844746115507694,0.9108245893826504,0.18672053226294996,nan,nan,0.2010619342327118,0.9339895248413086
6,low_diversity,0,512,0.639,nary_and_hexagon,96,6,6,1,0,6.0,0.5243055555555556,0.8854166666666666,1.142000565796496,1.2227239540171446,1.0584131122085725,nan,nan,0.12813079357147217,0.15255992114543915
6,low_diversity,1,512,0.6275,associativity_pentagon,96,5,8,1,1,5.0,0.5895833333333333,0.65625,0.42864170699921667,0.4409925387548148,0.19186602634725297,0.03522695782825549,0.8207842572222958,0.6281977295875549,0.929027795791626
6,low_diversity,1,512,0.6275,commutativity_cube,96,8,24,6,5,4.0,0.6276041666666666,0.4791666666666667,0.5604929743631093,0.5859815196613462,0.19027572165468343,0.05602489482579211,1.2428151633453832,0.523566722869873,0.7911049723625183
6,low_diversity,1,512,0.6275,commutativity_involution,96,2,2,1,0,2.0,0.6145833333333334,0.625,1.399040465658766,1.4156731848342932,0.1859961420112197,nan,nan,0.08060494810342789,0.9723706245422363
6,low_diversity,1,512,0.6275,demorgan_and_square,96,4,4,1,0,4.0,0.5234375,0.03125,1.870910755070608,0.3772060508080569,0.16944881793316036,nan,nan,0.0015090539818629622,0.9736328721046448
6,low_diversity,1,512,0.6275,demorgan_or_square,96,4,4,1,0,4.0,0.4270833333333333,0.21875,1.6037227303505053,0.9502932283337867,0.29591701536166165,nan,nan,0.02947409078478813,0.8947893977165222
6,low_diversity,1,512,0.6275,distributivity_diamond,96,4,5,2,1,3.0,0.5859375,0.3541666666666667,1.3172055319327203,1.1112068800697343,0.21472892318765086,0.27191093934485316,1.1445027065496232,0.11360597610473633,0.920105516910553
6,low_diversity,1,512,0.6275,double_negation,96,2,2,1,0,2.0,0.5625,0.4375,2.173084722864951,1.6234412331483448,1.2296185671968807,nan,nan,0.022712718695402145,0.9730932116508484
6,low_diversity,1,512,0.6275,exact1_hexagon,96,6,6,1,0,6.0,0.4930555555555556,0.3854166666666667,0.8790080636113494,0.9148795417726402,0.3553920484518372,nan,nan,0.3077506124973297,0.9121272563934326
6,low_diversity,1,512,0.6275,ite_expansion,96,2,2,1,0,2.0,0.5625,0.5833333333333334,1.5744025437560025,1.2736430408306212,0.4624759111860268,nan,nan,0.055005691945552826,0.961625337600708
