architecture_layers,condition,seed,train_size,split,depth,root_operator,count,accuracy,balanced_accuracy
2,higher_diversity,2,12000,ood,5,XOR3,62,0.5483870967741935,0.5576719576719577
2,higher_diversity,2,12000,ood,5,XOR4,82,0.5,0.5029815146094216
4,low_diversity,0,512,id,3,AND,78,0.7051282051282052,0.6333333333333333
4,low_diversity,0,512,id,3,AND3,74,0.8378378378378378,0.6261904761904762
4,low_diversity,0,512,id,3,AND4,69,0.8695652173913043,0.6136363636363636
4,low_diversity,0,512,id,3,ATLEAST2_4,81,0.6296296296296297,0.5679824561403509
4,low_diversity,0,512,id,3,EXACT1_3,69,0.5072463768115942,0.4409090909090909
4,low_diversity,0,512,id,3,ITE3,82,0.6097560975609756,0.611904761904762
4,low_diversity,0,512,id,3,MAJ3,74,0.581081081081081,0.5893939393939394
4,low_diversity,0,512,id,3,NOT,52,0.6346153846153846,0.6346153846153846
4,low_diversity,0,512,id,3,OR,61,0.6885245901639344,0.5890243902439024
4,low_diversity,0,512,id,3,OR3,66,0.7272727272727273,0.4678362573099415
4,low_diversity,0,512,id,3,OR4,76,0.9078947368421053,0.7976190476190477
4,low_diversity,0,512,id,3,XOR,72,0.5555555555555556,0.5572755417956656
4,low_diversity,0,512,id,3,XOR3,69,0.43478260869565216,0.4603448275862069
4,low_diversity,0,512,id,3,XOR4,77,0.4805194805194805,0.48144399460188936
4,low_diversity,0,512,ood,5,AND,84,0.6785714285714286,0.5349251603706343
4,low_diversity,0,512,ood,5,AND3,88,0.7727272727272727,0.4788732394366197
4,low_diversity,0,512,ood,5,AND4,72,0.9027777777777778,0.5637362637362637
4,low_diversity,0,512,ood,5,ATLEAST2_4,63,0.6349206349206349,0.5825942350332595
4,low_diversity,0,512,ood,5,EXACT1_3,62,0.5161290322580645,0.5245726495726495
4,low_diversity,0,512,ood,5,ITE3,79,0.6075949367088608,0.6125850340136054
4,low_diversity,0,512,ood,5,MAJ3,62,0.5967741935483871,0.5454054054054054
4,low_diversity,0,512,ood,5,NOT,63,0.4603174603174603,0.4536290322580645
4,low_diversity,0,512,ood,5,OR,71,0.6901408450704225,0.5713562753036436
4,low_diversity,0,512,ood,5,OR3,60,0.7,0.5096153846153846
4,low_diversity,0,512,ood,5,OR4,76,0.8947368421052632,0.4788732394366197
4,low_diversity,0,512,ood,5,XOR,76,0.5263157894736842,0.5180555555555556
4,low_diversity,0,512,ood,5,XOR3,62,0.5806451612903226,0.5481481481481482
4,low_diversity,0,512,ood,5,XOR4,82,0.4146341463414634,0.4215861657722123
4,low_diversity,1,512,id,3,AND,78,0.6666666666666666,0.6083333333333334
4,low_diversity,1,512,id,3,AND3,74,0.7972972972972973,0.49166666666666664
4,low_diversity,1,512,id,3,AND4,69,0.8985507246376812,0.4696969696969697
4,low_diversity,1,512,id,3,ATLEAST2_4,81,0.6049382716049383,0.5383771929824561
4,low_diversity,1,512,id,3,EXACT1_3,69,0.5797101449275363,0.5409090909090909
4,low_diversity,1,512,id,3,ITE3,82,0.6707317073170732,0.6720238095238096
4,low_diversity,1,512,id,3,MAJ3,74,0.6081081081081081,0.5909090909090908
4,low_diversity,1,512,id,3,NOT,52,0.6538461538461539,0.6538461538461537
4,low_diversity,1,512,id,3,OR,61,0.7377049180327869,0.6640243902439025
4,low_diversity,1,512,id,3,OR3,66,0.8787878787878788,0.695906432748538
4,low_diversity,1,512,id,3,OR4,76,0.8947368421052632,0.638095238095238
4,low_diversity,1,512,id,3,XOR,72,0.4861111111111111,0.4914860681114551
4,low_diversity,1,512,id,3,XOR3,69,0.4782608695652174,0.4978448275862069
4,low_diversity,1,512,id,3,XOR4,77,0.5584415584415584,0.5560053981106613
4,low_diversity,1,512,ood,5,AND,84,0.6071428571428571,0.6211689237348539
4,low_diversity,1,512,ood,5,AND3,88,0.7272727272727273,0.4507042253521127
4,low_diversity,1,512,ood,5,AND4,72,0.7916666666666666,0.5659340659340659
4,low_diversity,1,512,ood,5,ATLEAST2_4,63,0.6507936507936508,0.5315964523281597
4,low_diversity,1,512,ood,5,EXACT1_3,62,0.5806451612903226,0.5801282051282051
4,low_diversity,1,512,ood,5,ITE3,79,0.6582278481012658,0.6340136054421769
4,low_diversity,1,512,ood,5,MAJ3,62,0.5806451612903226,0.6032432432432433
4,low_diversity,1,512,ood,5,NOT,63,0.47619047619047616,0.4692540322580645
