architecture_layers,condition,seed,train_size,split,depth,root_operator,count,accuracy,balanced_accuracy
4,higher_diversity,2,12000,id,3,AND3,74,0.8243243243243243,0.6726190476190476
4,higher_diversity,2,12000,id,3,AND4,69,0.9565217391304348,0.5
4,higher_diversity,2,12000,id,3,ATLEAST2_4,81,0.7407407407407407,0.743421052631579
4,higher_diversity,2,12000,id,3,EXACT1_3,69,0.463768115942029,0.43272727272727274
4,higher_diversity,2,12000,id,3,ITE3,82,0.6463414634146342,0.6428571428571428
4,higher_diversity,2,12000,id,3,MAJ3,74,0.7162162162162162,0.7083333333333333
4,higher_diversity,2,12000,id,3,NOT,52,0.7307692307692307,0.7307692307692308
4,higher_diversity,2,12000,id,3,OR,61,0.8852459016393442,0.850609756097561
4,higher_diversity,2,12000,id,3,OR3,66,0.9393939393939394,0.7777777777777778
4,higher_diversity,2,12000,id,3,OR4,76,0.9473684210526315,0.7428571428571429
4,higher_diversity,2,12000,id,3,XOR,72,0.6944444444444444,0.6919504643962848
4,higher_diversity,2,12000,id,3,XOR3,69,0.4927536231884058,0.47715517241379307
4,higher_diversity,2,12000,id,3,XOR4,77,0.45454545454545453,0.4547908232118758
4,higher_diversity,2,12000,ood,5,AND,84,0.6666666666666666,0.6079828937990022
4,higher_diversity,2,12000,ood,5,AND3,88,0.7045454545454546,0.45898922949461474
4,higher_diversity,2,12000,ood,5,AND4,72,0.8472222222222222,0.5967032967032967
4,higher_diversity,2,12000,ood,5,ATLEAST2_4,63,0.6984126984126984,0.6313747228381374
4,higher_diversity,2,12000,ood,5,EXACT1_3,62,0.45161290322580644,0.4636752136752137
